credit_score,first_payment_date,first_time_homebuyer_flag,maturity_date,msa,mi_percentage,number_of_units,occupancy_status,original_cltv,original_dti,original_upb,original_ltv,original_interest_rate,channel,prepayment_penalty_mortgage,amortization_type,property_state,property_type,postal_code,loan_sequence_number,loan_purpose,original_loan_term,number_of_borrowers,seller_name,servicer_name,pre_relief_refinance_loan_sequence_number,special_eligibility_program,relief_refinance_indicator,property_valuation_method,interest_only_indicator,loan_duration_years,loan_term_category,credit_risk_category,dti_risk_category,ltv_risk_category,cltv_risk_category,combined_risk_indicator,total_months_observed,months_delinquent,months_seriously_delinquent,maximum_delinquency_status,latest_upb,ever_delinquent_flag,ever_seriously_delinquent_flag,delinquency_rate,serious_delinquency_rate,loan_balance_status
802.0,2020-05-01,N,2050-04-01,29820,0,1,P,80,34,252000,80,3.5,R,N,FRM,NV,PU,890,F20Q10328352,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Excellent,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
788.0,2020-05-01,N,2050-04-01,15764,0,1,P,67,39,590000,67,3.25,C,N,FRM,MA,SF,017,F20Q10328440,N,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Y,,N,1,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,18,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
808.0,2020-05-01,N,2050-04-01,27740,0,1,S,80,11,126000,80,3.625,C,N,FRM,TN,CO,376,F20Q10328569,P,360,1,"UNITED SHORE FINANCIAL SERVICES, LLC",N,,N,2,N,9999,29.92,Long-Term,Excellent,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,13,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
667.0,2020-05-01,N,2050-04-01,12700,0,1,P,75,41,244000,75,3.5,R,N,FRM,MA,SF,025,F20Q10328714,C,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Fair,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,71,0,0,0.0,206006.69,0,0,0.0,0.0,Active Balance
772.0,2020-05-01,N,2050-04-01,,30,1,P,95,50,219000,95,3.99,C,N,FRM,TX,SF,792,F20Q10328759,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Very Good,Very High DTI,High LTV,High CLTV,High Risk Indicators,72,17,15,17.0,214192.04,1,1,0.2361,0.2083,Active Balance
786.0,2020-05-01,N,2050-04-01,38060,0,1,P,79,17,383000,79,3.375,C,N,FRM,AZ,SF,852,F20Q10328870,N,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Very Good,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,15,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
708.0,2020-05-01,N,2035-04-01,12060,0,1,P,57,39,119000,57,3.375,R,N,FRM,GA,SF,300,F20Q10328894,N,180,1,QUICKEN LOANS INC.,N,,N,1,N,9999,14.92,Short-Term,Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,15,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
801.0,2020-05-01,N,2035-04-01,47894,0,1,P,29,18,181000,29,3.625,R,N,FRM,VA,SF,201,F20Q10328951,C,180,2,QUICKEN LOANS INC.,N,,N,2,N,9999,14.92,Short-Term,Excellent,Low DTI,Low LTV,Low CLTV,Lower Risk Indicators,6,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
723.0,2020-05-01,N,2050-04-01,42644,12,1,P,82,40,298000,82,3.625,R,N,FRM,WA,CO,981,F20Q10329000,N,360,1,OTHER,N,H,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,72,0,0,0.0,214110.45,0,0,0.0,0.0,Active Balance
727.0,2020-04-01,N,2050-03-01,42644,30,1,P,95,35,713000,95,4.0,C,N,FRM,WA,SF,981,F20Q10329013,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Y,,N,2,N,9999,29.91,Long-Term,Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
633.0,2020-04-01,Y,2050-03-01,,30,1,P,95,41,127000,95,4.25,R,N,FRM,MN,SF,566,F20Q10329044,P,360,2,OTHER,N,,N,2,N,9999,29.91,Long-Term,Fair,High DTI,High LTV,High CLTV,High Risk Indicators,73,0,0,0.0,112933.28,0,0,0.0,0.0,Active Balance
786.0,2020-05-01,N,2050-04-01,20700,0,1,P,72,39,215000,72,3.5,R,N,FRM,PA,PU,183,F20Q10329056,N,360,2,"LOANDEPOT.COM, LLC",N,,N,1,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,72,1,0,1.0,186998.99,1,0,0.0139,0.0,Active Balance
685.0,2020-04-01,N,2050-03-01,16300,25,1,P,90,27,214000,90,4.125,R,N,FRM,IA,SF,523,F20Q10329169,N,360,1,U.S. BANK N.A.,N,,N,2,N,9999,29.91,Long-Term,Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,22,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
719.0,2020-05-01,N,2050-04-01,24420,0,1,P,80,41,220000,80,4.125,R,N,FRM,OR,SF,975,F20Q10329181,C,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,72,0,0,0.0,194753.78,0,0,0.0,0.0,Active Balance
701.0,2020-05-01,N,2050-04-01,40900,0,1,P,80,29,370000,80,3.99,R,N,FRM,CA,SF,957,F20Q10329216,N,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.92,Long-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,22,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
777.0,2020-05-01,N,2046-04-01,40140,0,1,P,80,29,458000,80,3.99,R,N,FRM,CA,PU,925,F20Q10329244,C,312,1,U.S. BANK N.A.,N,,N,2,N,9999,25.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,12,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
815.0,2020-03-01,N,2050-02-01,22020,25,1,P,90,43,239000,90,3.99,C,N,FRM,ND,CO,581,F20Q10329251,P,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.92,Long-Term,Excellent,High DTI,High LTV,High CLTV,High Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
630.0,2020-03-01,N,2050-02-01,10540,0,1,P,80,44,351000,80,4.125,C,N,FRM,OR,SF,973,F20Q10329333,P,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.92,Long-Term,Fair,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,73,0,0,0.0,310149.36,0,0,0.0,0.0,Active Balance
769.0,2020-04-01,N,2050-03-01,38860,0,1,P,89,41,310000,80,4.0,C,N,FRM,ME,SF,040,F20Q10329384,P,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.91,Long-Term,Very Good,High DTI,Moderate LTV,High CLTV,Moderate Risk Indicators,73,0,0,0.0,272055.99,0,0,0.0,0.0,Active Balance
706.0,2020-04-01,N,2045-03-01,,0,1,P,80,41,502000,73,3.99,C,N,FRM,MN,SF,560,F20Q10329419,N,300,2,U.S. BANK N.A.,N,,N,2,N,9999,24.91,Long-Term,Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
766.0,2020-05-01,N,2050-04-01,31084,0,1,P,50,14,420000,50,3.125,C,N,FRM,CA,SF,913,F20Q10329513,N,360,2,"CMG MORTGAGE, INC.",N,,N,1,N,9999,29.92,Long-Term,Very Good,Low DTI,Low LTV,Low CLTV,Lower Risk Indicators,6,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
707.0,2020-04-01,N,2050-03-01,,0,1,P,71,42,211000,71,4.375,R,N,FRM,IA,SF,527,F20Q10329576,C,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.91,Long-Term,Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,73,0,0,0.0,187104.16,0,0,0.0,0.0,Active Balance
792.0,2020-04-01,N,2050-03-01,14860,0,2,I,75,39,394000,75,4.5,R,N,FRM,CT,SF,068,F20Q10329582,P,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.91,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,12,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
719.0,2020-04-01,N,2050-03-01,38900,0,1,I,53,38,315000,53,4.5,R,N,FRM,OR,SF,972,F20Q10329588,C,360,1,U.S. BANK N.A.,N,,N,2,N,9999,29.91,Long-Term,Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,73,0,0,0.0,280786.1,0,0,0.0,0.0,Active Balance
763.0,2020-04-01,N,2050-03-01,15764,0,2,I,53,45,550000,53,4.625,R,N,FRM,MA,SF,021,F20Q10329593,N,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.91,Long-Term,Very Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,43,25,20,20.0,0.0,1,1,0.5814,0.4651,Zero Balance
676.0,2020-04-01,N,2050-03-01,41180,0,1,P,76,45,177000,76,4.5,R,N,FRM,IL,SF,622,F20Q10329595,N,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.91,Long-Term,Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,73,0,0,0.0,154963.91,0,0,0.0,0.0,Active Balance
706.0,2020-04-01,N,2050-03-01,31700,0,1,P,72,33,191000,72,4.25,R,N,FRM,NH,SF,031,F20Q10329626,C,360,1,U.S. BANK N.A.,N,,N,2,N,9999,29.91,Long-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,18,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
797.0,2020-04-01,N,2050-03-01,16984,0,4,I,69,27,840000,69,4.5,C,N,FRM,IL,SF,606,F20Q10329651,N,360,2,U.S. BANK N.A.,N,,N,2,N,9999,29.91,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,73,0,0,0.0,309079.65,0,0,0.0,0.0,Active Balance
768.0,2020-05-01,N,2050-04-01,12420,0,1,I,80,45,231000,80,4.6,B,N,FRM,TX,CO,787,F20Q10329707,P,360,2,"UNITED SHORE FINANCIAL SERVICES, LLC",N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,13,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
795.0,2020-05-01,Y,2050-04-01,16984,0,1,P,80,30,156000,80,3.54,B,N,FRM,IL,SF,606,F20Q10329744,P,360,1,"UNITED SHORE FINANCIAL SERVICES, LLC",N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,72,0,0,0.0,83766.36,0,0,0.0,0.0,Active Balance
774.0,2020-05-01,N,2050-04-01,38060,0,1,P,75,31,293000,75,3.375,B,N,FRM,AZ,SF,852,F20Q10329753,C,360,2,"CMG MORTGAGE, INC.",N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,16,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
706.0,2020-05-01,N,2040-04-01,16984,0,1,P,77,29,184000,77,3.875,R,N,FRM,IL,SF,604,F20Q10329792,N,240,1,"LOANDEPOT.COM, LLC",N,,N,1,N,9999,19.92,Medium-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,72,0,0,0.0,143475.43,0,0,0.0,0.0,Active Balance
773.0,2020-05-01,N,2050-04-01,34980,0,1,P,51,30,380000,51,3.375,R,N,FRM,TN,SF,370,F20Q10329853,N,360,2,"LOANDEPOT.COM, LLC",N,,N,1,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Low LTV,Low CLTV,Lower Risk Indicators,72,0,0,0.0,332216.52,0,0,0.0,0.0,Active Balance
711.0,2020-05-01,N,2035-04-01,16984,0,1,P,59,46,175000,59,3.25,B,N,FRM,IL,SF,604,F20Q10329858,N,180,2,"LOANDEPOT.COM, LLC",N,,N,1,N,9999,14.92,Short-Term,Good,Very High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,72,1,0,1.0,91793.45,1,0,0.0139,0.0,Active Balance
773.0,2020-05-01,N,2050-04-01,39580,0,1,I,75,47,271000,75,4.625,C,N,FRM,NC,SF,276,F20Q10329863,C,360,1,"CMG MORTGAGE, INC.",N,,N,2,N,9999,29.92,Long-Term,Very Good,Very High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,11,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
808.0,2020-05-01,N,2050-04-01,46700,0,1,P,33,44,175000,33,3.375,R,N,FRM,CA,PU,945,F20Q10330103,P,360,2,OTHER,N,,N,1,N,9999,29.92,Long-Term,Excellent,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,13,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
780.0,2020-04-01,N,2040-03-01,33460,0,1,P,80,21,244000,80,3.25,R,N,FRM,MN,SF,560,F20Q10330110,N,240,2,OTHER,N,,N,1,N,9999,19.92,Medium-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,73,0,0,0.0,178065.18,0,0,0.0,0.0,Active Balance
763.0,2020-03-01,N,2040-02-01,,0,1,P,60,38,175000,60,3.875,C,N,FRM,MS,SF,390,F20Q10330168,C,240,1,U.S. BANK N.A.,N,,N,2,N,9999,19.92,Medium-Term,Very Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,73,0,0,0.0,135239.19,0,0,0.0,0.0,Active Balance
714.0,2020-05-01,N,2040-04-01,16984,0,1,P,80,30,304000,80,3.75,C,N,FRM,IL,SF,600,F20Q10330170,C,240,2,U.S. BANK N.A.,N,,N,2,N,9999,19.92,Medium-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,12,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
747.0,2020-05-01,N,2050-04-01,33460,0,1,P,74,40,188000,74,3.5,R,N,FRM,MN,SF,550,F20Q10330203,C,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,72,0,0,0.0,164333.96,0,0,0.0,0.0,Active Balance
771.0,2020-05-01,Y,2050-04-01,41740,30,1,P,94,25,548000,94,3.5,C,N,FRM,CA,SF,920,F20Q10330220,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Y,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,16,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
814.0,2020-05-01,N,2050-04-01,10740,0,1,P,51,28,116000,51,3.75,C,N,FRM,NM,PU,871,F20Q10330240,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Excellent,Moderate DTI,Low LTV,Low CLTV,Lower Risk Indicators,72,0,0,0.0,101478.14,0,0,0.0,0.0,Active Balance
794.0,2020-04-01,N,2050-03-01,42644,30,1,P,95,43,523000,95,4.125,C,N,FRM,WA,SF,980,F20Q10330298,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Y,,N,2,N,9999,29.91,Long-Term,Very Good,High DTI,High LTV,High CLTV,High Risk Indicators,11,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
730.0,2020-05-01,N,2050-04-01,35380,0,1,P,80,41,300000,80,3.5,C,N,FRM,LA,SF,701,F20Q10330378,C,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,12,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
817.0,2020-04-01,N,2035-03-01,18880,0,1,P,50,31,150000,50,4.25,C,N,FRM,FL,SF,325,F20Q10330396,C,180,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,14.91,Short-Term,Excellent,Moderate DTI,Low LTV,Low CLTV,Lower Risk Indicators,24,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
710.0,2020-05-01,N,2050-04-01,28940,0,1,P,59,39,151000,59,3.0,R,N,FRM,TN,SF,377,F20Q10330437,C,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,72,0,0,0.0,128859.99,0,0,0.0,0.0,Active Balance
738.0,2020-05-01,N,2050-04-01,29404,0,1,P,80,46,448000,80,3.5,C,N,FRM,IL,PU,600,F20Q10330549,C,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Good,Very High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,6,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
775.0,2020-05-01,Y,2050-04-01,33124,30,1,P,95,31,380000,95,3.875,C,N,FRM,FL,SF,331,F20Q10330557,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,23,20,18,20.0,0.0,1,1,0.8696,0.7826,Zero Balance
713.0,2020-05-01,Y,2050-04-01,35614,30,1,P,95,42,352000,95,3.99,C,N,FRM,NJ,SF,076,F20Q10330602,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,72,3,0,2.0,312389.99,1,0,0.0417,0.0,Active Balance
691.0,2020-05-01,Y,2050-04-01,38060,25,1,P,90,44,270000,90,4.0,C,N,FRM,AZ,SF,853,F20Q10330604,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,15,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
702.0,2020-05-01,Y,2050-04-01,38060,30,1,P,95,44,227000,95,3.5,C,N,FRM,AZ,PU,850,F20Q10330605,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,59,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
801.0,2020-05-01,N,2033-04-01,41540,0,1,P,75,39,326000,75,2.875,R,N,FRM,DE,PU,199,F20Q10330691,N,156,2,OTHER,N,,N,2,N,9999,12.92,Short-Term,Excellent,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,37,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
751.0,2020-05-01,N,2050-04-01,40060,0,1,I,75,41,83000,75,3.75,C,N,FRM,VA,CO,232,F20Q10330837,P,360,1,TRUIST BANK,N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,72,0,0,0.0,72639.51,0,0,0.0,0.0,Active Balance
803.0,2020-05-01,N,2050-04-01,40900,0,1,P,50,36,475000,50,3.25,R,N,FRM,CA,PU,956,F20Q10330840,N,360,2,OTHER,N,,N,1,N,9999,29.92,Long-Term,Excellent,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,7,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
766.0,2020-05-01,N,2040-04-01,38300,0,1,P,51,42,63000,51,4.0,C,N,FRM,PA,SF,156,F20Q10330874,C,240,1,"AMERIHOME MORTGAGE COMPANY, LLC",N,,N,2,N,9999,19.92,Medium-Term,Very Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,72,0,0,0.0,48308.91,0,0,0.0,0.0,Active Balance
712.0,2020-05-01,Y,2050-04-01,31084,0,1,P,42,48,245000,42,3.5,C,N,FRM,CA,CO,907,F20Q10330898,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Good,Very High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,72,14,0,2.0,206809.8,1,0,0.1944,0.0,Active Balance
774.0,2020-04-01,N,2040-03-01,17140,0,1,P,70,20,173000,70,3.5,C,N,FRM,OH,PU,450,F20Q10330968,N,240,2,U.S. BANK N.A.,N,,N,1,N,9999,19.92,Medium-Term,Very Good,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,9,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
749.0,2020-04-01,Y,2050-03-01,18140,25,1,P,95,44,116000,95,3.75,C,N,FRM,OH,CO,430,F20Q10331057,P,360,1,U.S. BANK N.A.,N,H,N,2,N,9999,29.91,Long-Term,Very Good,High DTI,High LTV,High CLTV,High Risk Indicators,73,0,0,0.0,97807.85,0,0,0.0,0.0,Active Balance
777.0,2020-05-01,N,2050-04-01,29820,0,1,I,75,35,233000,75,4.0,R,N,FRM,NV,PU,890,F20Q10331085,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,6,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
719.0,2020-03-01,Y,2050-02-01,17820,18,1,P,102,44,276000,97,5.0,C,N,FRM,CO,SF,809,F20Q10331139,P,360,2,U.S. BANK N.A.,N,F,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,15,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
747.0,2020-04-01,N,2050-03-01,47664,0,1,P,75,44,173000,75,3.625,C,N,FRM,MI,CO,481,F20Q10331188,N,360,1,OTHER,N,H,N,2,N,9999,29.91,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,20,9,6,6.0,0.0,1,1,0.45,0.3,Zero Balance
759.0,2020-05-01,N,2050-04-01,39580,25,1,P,88,23,305000,88,3.25,C,N,FRM,NC,PU,275,F20Q10331248,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,10,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
755.0,2020-05-01,N,2050-04-01,12420,0,1,I,75,38,159000,75,4.0,C,N,FRM,TX,PU,786,F20Q10331272,P,360,1,"WELLS FARGO BANK, N.A.",N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,21,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
736.0,2020-05-01,Y,2050-04-01,22220,30,1,P,95,42,181000,95,3.625,C,N,FRM,AR,SF,727,F20Q10331301,P,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,72,0,0,0.0,158529.53,0,0,0.0,0.0,Active Balance
671.0,2020-04-01,N,2050-03-01,41740,0,1,I,48,40,295000,48,4.25,C,N,FRM,CA,PU,919,F20Q10331312,P,360,2,OTHER,N,,N,2,N,9999,29.91,Long-Term,Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,73,1,0,1.0,221619.46,1,0,0.0137,0.0,Active Balance
749.0,2020-05-01,N,2050-04-01,19740,0,1,P,80,45,468000,80,3.375,C,N,FRM,CO,PU,800,F20Q10331434,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,11,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
815.0,2020-05-01,N,2050-04-01,41740,0,1,P,59,20,587000,59,3.25,R,N,FRM,CA,SF,921,F20Q10331442,N,360,1,"LOANDEPOT.COM, LLC",Y,,N,1,N,9999,29.92,Long-Term,Excellent,Low DTI,Low LTV,Low CLTV,Lower Risk Indicators,72,0,0,0.0,504207.37,0,0,0.0,0.0,Active Balance
673.0,2020-05-01,N,2050-04-01,46060,0,1,P,80,44,300000,80,5.125,R,N,FRM,AZ,PU,856,F20Q10331476,C,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,58,6,4,5.0,0.0,1,1,0.1034,0.069,Zero Balance
810.0,2020-05-01,N,2035-04-01,38060,0,1,P,73,23,217000,73,3.125,R,N,FRM,AZ,PU,853,F20Q10331477,N,180,1,OTHER,N,,N,1,N,9999,14.92,Short-Term,Excellent,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,16,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
807.0,2020-05-01,N,2050-04-01,41740,0,1,P,57,16,405000,57,3.375,R,N,FRM,CA,SF,921,F20Q10331487,C,360,1,"LOANDEPOT.COM, LLC",N,,N,2,N,9999,29.92,Long-Term,Excellent,Low DTI,Low LTV,Low CLTV,Lower Risk Indicators,9,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
787.0,2020-05-01,N,2050-04-01,40140,0,1,P,78,16,328000,78,3.375,B,N,FRM,CA,SF,925,F20Q10331514,N,360,2,"LOANDEPOT.COM, LLC",N,,N,2,N,9999,29.92,Long-Term,Very Good,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,72,0,0,0.0,286604.18,0,0,0.0,0.0,Active Balance
644.0,2020-05-01,N,2050-04-01,47940,0,1,P,69,42,95000,69,3.875,R,N,FRM,IA,CO,507,F20Q10331540,N,360,1,OTHER,N,,N,1,N,9999,29.92,Long-Term,Fair,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,10,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
798.0,2020-05-01,Y,2050-04-01,15764,0,1,P,80,24,409000,80,3.5,R,N,FRM,MA,CO,021,F20Q10331592,P,360,1,"GUARANTEED RATE, INC.",N,,N,1,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,11,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
752.0,2020-05-01,N,2050-04-01,33340,0,1,P,77,20,289000,77,3.5,R,N,FRM,WI,SF,530,F20Q10331593,N,360,2,"GUARANTEED RATE, INC.",N,,N,1,N,9999,29.92,Long-Term,Very Good,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,72,0,0,0.0,253178.54,0,0,0.0,0.0,Active Balance
723.0,2020-05-01,N,2050-04-01,19124,0,1,P,74,27,272000,74,3.375,R,N,FRM,TX,SF,760,F20Q10331625,N,360,1,"GUARANTEED RATE, INC.",N,,N,2,N,9999,29.92,Long-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,12,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
